datetime,location,precip,conditions,icon
2023-09-08 00:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận 1, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận 1, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận 1, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận 1, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận 1, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận 3, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận 3, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận 3, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận 3, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận 3, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận 4, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận 4, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận 4, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận 4, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận 4, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận 5, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận 5, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận 5, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận 5, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận 5, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận 6, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận 6, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận 6, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận 6, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận 6, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
